,PA01H:CO,PA01H:PM10,PA01H:PM25,PA01H:NO2,PA01H:NO,PA01H:NOX,PA01H:O3,OBJECTID
,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,0
,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,1
,Monoxyde de carbone,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote,ozone,2
,CO,PM10,PM25,NO2,NO,NOX,O3,3
,mg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2021/01/12 14:00:00+00,,9.400000,6.500000,,,,42.500000,282
2021/01/12 15:00:00+00,,10.400000,8.500000,,,,39.100000,283
2021/01/12 16:00:00+00,,10.800000,6.600000,,,,29.600000,284
2021/01/12 17:00:00+00,,10.500000,5.700000,,,,38.900000,285
2021/01/12 18:00:00+00,,12,7,,,,30,286
2021/01/12 19:00:00+00,,13.700000,9.300000,,,,20.600000,287
2021/01/12 20:00:00+00,,16.500000,10.800000,,,,34,288
2021/01/12 21:00:00+00,,14.500000,12.200000,,,,38.700000,289
2021/01/12 22:00:00+00,,17.500000,13.700000,,,,49.700000,290
2021/01/12 23:00:00+00,,12.500000,8.300000,,,,51.800000,291
2021/01/13 00:00:00+00,,12.200000,7.500000,,,,53,292
2021/01/13 01:00:00+00,,10.100000,8.300000,,,,56.300000,293
2021/01/13 02:00:00+00,,14.600000,10.400000,,,,51.900000,294
2021/01/13 03:00:00+00,,14.400000,9.400000,,,,41.800000,295
2021/01/13 04:00:00+00,,19.200000,12.600000,,,,40.700000,296
2021/01/13 05:00:00+00,,18.300000,11.200000,,,,37.700000,297
2021/01/13 06:00:00+00,,17.200000,13.200000,,,,34.300000,298
2021/01/13 07:00:00+00,,18.100000,12.100000,,,,15.800000,299
2021/01/13 08:00:00+00,,19.600000,14.500000,,,,10.100000,300
